Type,Nom,Pays,Note,Nb_votes,image
Série,Extraordinary You,Corée , 9.4 ,23148,https://6.vikiplatform.com/image/5d49d68cf70644c7bb0c7a1ea8f25ff7.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE La rivière où la lune se lève,Corée , 8.3 ,3009,https://6.vikiplatform.com/image/e841647d4f1f4a6da90c2118b35ec16b.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Gobelin,Corée , 9.7 ,94393,https://6.vikiplatform.com/image/0691b83162c248128e8c8dd840ed27e6.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE L'épée et le brocart,Chine Continentale , 9.4 ,7537,https://6.vikiplatform.com/image/9c730034db084a3c9e4a805eb1b12ffe.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,La Fleur du Mal,Corée , 9.7 ,111366,https://6.vikiplatform.com/image/aac0ccfc67f9463f9dc77ed9d6e174eb.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE The Long Ballad (La Longue Ballade),Chine Continentale , 9.4 ,1558,https://6.vikiplatform.com/image/50709c6aa11143099e41bb8ddc45c26c.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Pendant ton sommeil,Corée , 9.6 ,137928,https://1.viki.io/c/33538c/while-you-were-sleeping-1560x872_highresolution.jpg?x=b&s=380x214&q=h&e=t&f=t&cb=1
Série,Go Go Squid!,Chine Continentale , 9.6 ,98645,https://6.vikiplatform.com/image/a4f2f6706fe64b1594d8eec84918f673.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Tu es ma destinée,Chine Continentale , 9.4 ,77470,https://6.vikiplatform.com/image/f50be54d9e16469fbeaaf2b2cb359b68.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,The Blooms at Ruyi Pavilion (Les...,Chine Continentale , 9.2 ,9361,https://6.vikiplatform.com/image/37454b044250489ca698b4b08f73869c.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Weightlifting Fairy Kim Bok Joo,Corée , 9.7 ,89808,https://6.vikiplatform.com/image/037050b4edde4d5580997ab586dd70b5.jpeg?x=b&s=380x214&q=h&e=t&f=t&cb=1
Série,L'amour avec des défauts,Corée , 9.1 ,19913,https://6.vikiplatform.com/image/0c47baa6ab9545adbc42896779ee2346.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Love Unexpected,Chine Continentale , 9.1 ,4729,https://6.vikiplatform.com/image/98167b2221334946b1296b4e94c00eb3.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,W,Corée , 9.6 ,104020,https://6.vikiplatform.com/image/72cb164bcb2846eaaea7f1dd675dcf73.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,You Make Me Dance (Tu me fais da...,Corée , 9.5 ,8904,https://6.vikiplatform.com/image/d0dd3dba883e40779d4dda6dfe1eaa48.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE HIStoire 4 : Près de Vous,Taïwan , 8.9 ,1357,https://6.vikiplatform.com/image/91f4da7f91e74e68b16bd7ab8e3f53a2.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,The Rebel Princess,Chine Continentale , 9.5 ,5707,https://6.vikiplatform.com/image/eb59562a7a854dfdab697b178b5089b1.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE Parole d'honneur,Chine Continentale , 9.6 ,1645,https://6.vikiplatform.com/image/5591ac7ea222407aabda68a8c343032d.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,"Do Bong Soon, une force de la na...",Corée , 9.7 ,181460,https://6.vikiplatform.com/image/710e5f280e2e45269c75f52ea140ec06.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Me faire doucement fondre,Corée , 9.2 ,59524,https://6.vikiplatform.com/image/9e8676da98c34c759e3580c779d98821.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Amour O2O,Chine Continentale , 9.6 ,46358,https://6.vikiplatform.com/image/ba66053f9a8248869ad113ab712f9b89.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,L'amour au fil du temps,Chine Continentale , 9.1 ,1605,https://6.vikiplatform.com/image/4444144da0744324872dc5fd8ab48cb0.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE Be My Boyfriend (Sois mon petit ...,Corée , 9.1 ,782,https://6.vikiplatform.com/image/f4f24fc45dd549b0a9bd06578d99b4a8.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE The Wolf Princess,Chine Continentale , 8.9 ,890,https://6.vikiplatform.com/image/675a2c9020c34b7db56267227c2d7752.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Droit au cœur,Corée , 9.6 ,72150,https://6.vikiplatform.com/image/f572c9852ff943bbb769770e65a0d19e.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,]]The Untamed (L'indompté),Chine Continentale , 9.8 ,33282,https://6.vikiplatform.com/image/ac7ca78b020149ebae1c12792f8220ec.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,General's Lady,Chine Continentale , 9.5 ,18392,https://6.vikiplatform.com/image/1bafd39ac8e9454498daa8a68b2259a4.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,La Légende de la Mer Bleue,Corée , 9.6 ,74905,https://6.vikiplatform.com/image/1b108b5d64a648d18b73800f1829e74e.jpeg?x=b&s=380x214&q=h&e=t&f=t&cb=1
Série,Sa vie privée,Corée , 9.5 ,76510,https://6.vikiplatform.com/image/7a240d22c5674fc698ac426bd80d6d4f.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Mariage entre collègues,Japon , 9.3 ,22648,https://6.vikiplatform.com/image/29aca1a759e94c598b0efe40596e4bff.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Douluo Continent,Chine Continentale , 9.4 ,9164,https://6.vikiplatform.com/image/3d0e1749b4ad46f9a9840d627cf096de.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Ma petite licorne,Chine Continentale , 9.6 ,57788,https://6.vikiplatform.com/image/10608e291f0c4c69a7e5e7ac5dc9d3ad.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,"Go Go Squid 2 : Dt, Appledog's Time",Chine Continentale , 9.0 ,6641,https://6.vikiplatform.com/image/0b8ab3bca9614215a7af005245ca47ec.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Color Rush (La ruée des couleurs),Corée , 9.5 ,37620,https://6.vikiplatform.com/image/825963382c6a4bb89ca251b83dbed9f6.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Mon étrange héros,Corée , 9.5 ,38428,https://6.vikiplatform.com/image/ae4faa395bbc45fb9413d4a622b4e86b.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,My ID Is Gangnam Beauty,Corée , 9.5 ,155184,https://6.vikiplatform.com/image/9051fb961bbc4cf2b4d15c30188112f7.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Love Revolution (La Révolution d...,Corée , 9.4 ,41838,https://6.vikiplatform.com/image/a108fc52d8e5447f925a6714b3a215c9.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,I-LAND,Corée , 9.7 ,24436,https://6.vikiplatform.com/image/09e003993eb248a0af5e29ac2585bad9.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,The Brightest Star in the Sky,Chine Continentale , 9.5 ,39192,https://6.vikiplatform.com/image/709b9b3c0cab4da9a8834b26d8543535.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Lost Romance,Taïwan , 9.6 ,21621,https://6.vikiplatform.com/image/507d9266dcd347f1a8fb0019259530ce.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Écrire ta destinée,Corée , 9.1 ,2857,https://6.vikiplatform.com/image/d857f28996c340adbd9cfa79b90dda3c.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Café et vanille,Japon , 9.0 ,92418,https://6.vikiplatform.com/image/c2f2d4c6655440d794c975cd69148ee4.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Hi ! School : Love On,Corée , 9.3 ,12108,https://6.vikiplatform.com/image/1f92b5ede49640928a6dfbc0824e33c0.jpeg?x=b&s=380x214&q=h&e=t&f=t&cb=1
Série,"Tuez moi, soignez-moi",Corée , 9.7 ,28278,https://6.vikiplatform.com/image/e66cf46d5a604e8fafdcd26f3e97fa0e.jpeg?x=b&s=380x214&q=h&e=t&f=t&cb=1
Série,Pose ta tête sur mon épaule,Chine Continentale , 9.6 ,38756,https://6.vikiplatform.com/image/9b279a006f654dec8fa67210e51ea0fc.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Partenaire suspect,Corée , 9.5 ,72372,https://6.vikiplatform.com/image/4e09157c80ae4f64b7f2ad2ae7f3cbcf.jpeg?x=b&s=380x214&q=h&e=t&f=t&cb=1
Série,Professional Single,Chine Continentale , 9.4 ,26911,https://6.vikiplatform.com/image/b732f36b04474520950168aaec0d87c7.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Go Ahead (Aller de l'avant),Chine Continentale , 9.7 ,53710,https://6.vikiplatform.com/image/2692acf033e041c28cb7620a683b6e47.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE How To Be Thirty (Comment avoir ...,Corée , 7.8 ,3127,https://6.vikiplatform.com/image/4e6de138803044fe91322092e504ea3b.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Graceful Family,Corée , 9.4 ,22533,https://6.vikiplatform.com/image/621d39b89c2041a88feef46ebc57d2ef.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Love and Redemption (Amour et ré...,Chine Continentale , 9.5 ,12448,https://6.vikiplatform.com/image/56349fa123374dfab2379f7ee9df68ad.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Juste entre amoureux,Corée , 9.5 ,39207,https://6.vikiplatform.com/image/be9bc86d62804de9b968c04ab4cf2e73.jpeg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,À L'ANTENNE Mouse (Souris),Corée , 9.6 ,1303,https://6.vikiplatform.com/image/8e3e8277a57e45e5857014a6669daa7c.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Avocat sans foi ni loi,Corée , 9.6 ,33204,https://6.vikiplatform.com/image/d6f983af291b497697cc339605462265.jpeg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Le Loup,Chine Continentale , 9.3 ,13574,https://6.vikiplatform.com/image/3d47d791637640e6b98fed2647f264db.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,La Légende de Fei,Chine Continentale , 9.2 ,7199,https://6.vikiplatform.com/image/51377c7ee1e24d2c9346c5ccb2caf7f2.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Kakafukaka,Japon , 8.1 ,40906,https://6.vikiplatform.com/image/be9ab1beff464534bf806ac372f65a36.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Année Scolaire 2017,Corée , 9.4 ,21368,https://1.viki.io/c/35518c/School-2017_Channel-Thumbnail_1560x872_2_.jpg?x=b&s=380x214&q=h&e=t&f=t&cb=1
Série,HIStory 3: Make Our Days Count,Taïwan , 9.2 ,21162,https://6.vikiplatform.com/image/d5b1d6c5f54e446da3b6b40cc96fe256.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Hotel Del Luna,Corée , 9.6 ,93921,https://6.vikiplatform.com/image/74cc3b3c335c47bb90aa5cae5487246c.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Revenge Note 2,Corée , 9.5 ,25504,https://6.vikiplatform.com/image/f14d538bfacf4599ade9e0c697ac0d0b.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Les descendants du soleil,Corée , 9.7 ,76566,https://6.vikiplatform.com/image/647f70f7bc2a413bb7371e3093f37bda.jpeg?x=b&s=380x214&q=h&e=t&f=t&cb=1
Série,HIStory 3 : Prisonnier,Taïwan , 9.6 ,28889,https://6.vikiplatform.com/image/99d9cbc8c0b9409ba9d058f80fefad8e.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Kiss Goblin,Corée , 9.3 ,52034,https://6.vikiplatform.com/image/aaa9a674435342298236034c0235ded3.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Love Designer,Chine Continentale , 9.3 ,26460,https://6.vikiplatform.com/image/9b2707bfbf4543b1a9ea04df7ac38817.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,"Trois vies, trois mondes: le liv...",Chine Continentale , 9.7 ,23800,https://6.vikiplatform.com/image/c64c9e0ae0db4dd9917e1bce7919d3cc.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Hwarang,Corée , 9.6 ,80170,https://6.vikiplatform.com/image/3bf2febad2124597b05d829b10eccd34.jpeg?x=b&s=380x214&q=h&e=t&f=t&cb=1
Série,La légende de Yun Xi,Chine Continentale , 9.2 ,13720,https://6.vikiplatform.com/image/946f3f721a2940618e16543ce0d11e16.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,To My Star (À mon étoile),Corée , 9.6 ,14396,https://6.vikiplatform.com/image/14cae1eaf3c349a5a5240e0732c8610b.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Where Stars Land,Corée , 9.3 ,24591,https://6.vikiplatform.com/image/91b1de615bab4dda8d590405b7ae1b63.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Live On,Corée , 9.2 ,19229,https://6.vikiplatform.com/image/fcc97190d8e543f5ada16c80969ccb4f.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Forêt,Corée , 9.3 ,44698,https://6.vikiplatform.com/image/e6ab6497644740289ba89ae06030367a.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Patiner vers l'amour,Chine Continentale , 9.6 ,22885,https://6.vikiplatform.com/image/e55e178451f74e49aa65ff47b51d21ef.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Amour éternel,Chine Continentale , 9.6 ,17522,https://6.vikiplatform.com/image/51e5a65f82b44799afbe7d32e4e96127.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Princess Agents,Chine Continentale , 9.3 ,20186,https://1.viki.io/c/31618c/Princess-Agent_thumbnail_1560x872.jpg?x=b&s=380x214&q=h&e=t&f=t&cb=1
Série,La Légende de Fuyao,Chine Continentale , 9.5 ,19967,https://6.vikiplatform.com/image/77a7c49668fb431f86311b1605173e31.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Sous le pouvoir,Chine Continentale , 9.5 ,9250,https://6.vikiplatform.com/image/6d19dd591c9a47a1a8b650716b28ed8c.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Goong (aKa Princesse Heure) Pala...,Corée , 9.2 ,13010,https://6.vikiplatform.com/image/a5d5ebd93f924de99933c88b17a246db.jpeg?x=b&s=380x214&q=h&e=t&f=t&cb=1
Série,Mr. Heart,Corée , 9.5 ,31255,https://6.vikiplatform.com/image/2f74515e200243938437f10feeb7ce4e.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,A Little Thing Called First Love,Chine Continentale , 9.5 ,21097,https://6.vikiplatform.com/image/6967e2f0d71f48aa9703561d11b85865.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,My Dear Lady (Ma chère Dame),Chine Continentale , 9.2 ,13697,https://6.vikiplatform.com/image/6d2926ea66bc44018866299894113566.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Master Devil Do Not Kiss Me Sais...,Chine Continentale , 9.1 ,35290,https://6.vikiplatform.com/image/177feb881b1044b9927b05c74679e874.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Baiser Malicieux : L'Amour à Tokyo,Japon , 9.3 ,21580,https://6.vikiplatform.com/image/908ed66c852e48a386f229700c31fb8e.jpeg?x=b&s=380x214&q=h&e=t&f=t&cb=1
Série,Premier amour,Chine Continentale , 9.3 ,34476,https://6.vikiplatform.com/image/f3486b94ddb743fdbe5b47ede8fc0a97.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
Série,Équations amoureuses,Chine Continentale , 9.4 ,25351,https://6.vikiplatform.com/image/33c1e8999b87410093c91743a6669e88.jpg?x=b&a=0x0&s=380x214&q=h&e=t&f=t&cb=1
